experiment,date,diagnostic,module_path,module_type,mean,min,max
control,2026-06-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,60.463128400112325,60.463128400112325,60.463128400112325
control,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.3971978096296259,0.3971978096296259,0.3971978096296259
control,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.2200201981033651,0.2200201981033651,0.2200201981033651
control,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.1346127855393502,0.1346127855393502,0.1346127855393502
control,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.8163891655466603,0.5970714691118564,0.978446199532377
control,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.7372041323171533,0.7372041323171533,0.7372041323171533
control,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.5552684020243659,0.3953897599985256,0.6360294921688177
control,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.4566989257425103,0.4566989257425103,0.4566989257425103
control,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.5765135823773819,0.5061907418782958,0.6181066826474932
control,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.4366680610948391,0.4366680610948391,0.4366680610948391
control,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,0.0765186539688265,0.0765186539688265,0.0765186539688265
control,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.2433759969888344,0.2433759969888344,0.2433759969888344
control,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.8046929990564095,0.6713493985848022,0.9333179323162084
control,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.3737972147744881,0.3737972147744881,0.3737972147744881
control,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.1279908472781442,0.1279908472781442,0.1279908472781442
control,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.5521935510626368,0.4664700587800646,0.5875509187913973
control,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.5604227816905474,0.5168855399315796,0.5831503982728956
control,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,0.0063450401768616,0.0063450401768616,0.0063450401768616
control,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.5846611818645345,0.5618434380975373,0.5926550718107927
control,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.1,RQKernel,0.5867904164838699,0.5805294113623983,0.5944421634811291
control,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.1,MaternKernel,0.8623122041085051,0.5714018122148418,1.084486785330804
control,2026-06-30,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0067330293942176,0.0067087911733876,0.0067491322354139
